game_id,date,home_club_id,away_club_id,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,competition_type
4635131,2025-11-29,244,415,Roberto De Zerbi,Carles Martínez,Orange Vélodrome,65163.0,Eric Wattellier,Olympique de Marseille,Toulouse Football Club,domestic_league
4635132,2025-12-05,1082,244,Bruno Génésio,Roberto De Zerbi,Decathlon Arena-Stade Pierre-Mauroy,48258.0,Jérôme Brisard,Lille Olympique Sporting Club,Olympique de Marseille,domestic_league
4635133,2025-12-07,738,10004,Didier Digard,Stéphane Gilli,Stade Océane,17460.0,Ruddy Buquet,Le Havre Athletic Club,Paris Football Club,domestic_league
4635134,2025-12-07,290,347,Christophe Pélissier,Stéphane Le Mignan,Stade de l'Abbé-Deschamps,15588.0,Eric Wattellier,Association de la Jeunesse auxerroise,Football Club de Metz,domestic_league
4635135,2025-12-06,995,826,Luís Castro,Pierre Sage,Stade de la Beaujoire,26654.0,Benoît Bastien,Football Club de Nantes,Racing Club de Lens,domestic_league
4635136,2025-12-07,417,1420,Franck Haise,Alexandre Dujeux,Allianz Riviera,17630.0,Jérémy Stinat,Olympique Gymnaste Club Nice Côte d'Azur,Angers Sporting Club de l'Ouest,domestic_league
4635137,2025-12-05,3911,162,Éric Roy,Sébastien Pocognoli,Stade Francis-Le Blé,14522.0,Thomas Léonard,Stade brestois 29,Association sportive de Monaco Football Club,domestic_league
4635138,2025-12-07,1158,1041,Olivier Pantaloni,Paulo Fonseca,Stade du Moustoir,16213.0,Mathieu Vernice,Football Club Lorient-Bretagne Sud,Olympique Lyonnais,domestic_league
4635139,2025-12-06,415,667,Carles Martínez,Liam Rosenior,Stadium Municipal,22031.0,Stéphanie Frappart,Toulouse Football Club,Racing Club de Strasbourg Alsace,domestic_league
4635140,2025-12-06,583,273,Luis Enrique,Habib Beye,Parc des Princes,47823.0,Marc Bollengier,Paris Saint-Germain Football Club,Stade Rennais Football Club,domestic_league
4635141,2025-12-12,1420,995,Alexandre Dujeux,Ahmed Kantari,Stade Raymond-Kopa,14308.0,Stéphanie Frappart,Angers Sporting Club de l'Ouest,Football Club de Nantes,domestic_league
4635142,2025-12-13,10004,415,Stéphane Gilli,Carles Martínez,Stade Jean Bouin,15822.0,Bastien Dechepy,Paris Football Club,Toulouse Football Club,domestic_league
4635143,2025-12-14,290,1082,Christophe Pélissier,Bruno Génésio,Stade de l'Abbé-Deschamps,16124.0,Jérémie Pignard,Association de la Jeunesse auxerroise,Lille Olympique Sporting Club,domestic_league
4635144,2025-12-13,273,3911,Habib Beye,Éric Roy,Roazhon Park,27959.0,Benoît Millot,Stade Rennais Football Club,Stade brestois 29,domestic_league
4635145,2025-12-14,1041,738,Paulo Fonseca,Didier Digard,Groupama Stadium,42168.0,Marc Bollengier,Olympique Lyonnais,Le Havre Athletic Club,domestic_league
4635146,2025-12-14,667,1158,Liam Rosenior,Olivier Pantaloni,Stade de la Meinau,29951.0,Gaël Angoula,Racing Club de Strasbourg Alsace,Football Club Lorient-Bretagne Sud,domestic_league
4635147,2025-12-13,347,583,Stéphane Le Mignan,Luis Enrique,Stade Saint-Symphorien,28500.0,Romain Lissorgue,Football Club de Metz,Paris Saint-Germain Football Club,domestic_league
4635148,2025-12-14,826,417,Pierre Sage,Franck Haise,Stade Bollaert-Delelis,37278.0,Willy Delajod,Racing Club de Lens,Olympique Gymnaste Club Nice Côte d'Azur,domestic_league
4635149,2025-12-14,244,162,Roberto De Zerbi,Sébastien Pocognoli,Orange Vélodrome,64509.0,François Letexier,Olympique de Marseille,Association sportive de Monaco Football Club,domestic_league
4635150,2026-01-03,417,667,Claude Puel,Liam Rosenior,Allianz Riviera,18365.0,Clément Turpin,Olympique Gymnaste Club Nice Côte d'Azur,Racing Club de Strasbourg Alsace,domestic_league
4635151,2026-01-04,583,10004,Luis Enrique,Stéphane Gilli,Parc des Princes,47892.0,Benoît Bastien,Paris Saint-Germain Football Club,Paris Football Club,domestic_league
4635152,2026-01-03,162,1041,Sébastien Pocognoli,Paulo Fonseca,Stade Louis-II,11828.0,Jérôme Brisard,Association sportive de Monaco Football Club,Olympique Lyonnais,domestic_league
4635153,2026-01-03,1082,273,Bruno Génésio,Habib Beye,Decathlon Arena-Stade Pierre-Mauroy,41527.0,Eric Wattellier,Lille Olympique Sporting Club,Stade Rennais Football Club,domestic_league
4635154,2026-01-04,738,1420,Didier Digard,Alexandre Dujeux,Stade Océane,16099.0,Hakim Ben El Hadj,Le Havre Athletic Club,Angers Sporting Club de l'Ouest,domestic_league
4635155,2026-01-04,1158,347,Olivier Pantaloni,Stéphane Le Mignan,Stade du Moustoir,12602.0,Guillaume Paradis,Football Club Lorient-Bretagne Sud,Football Club de Metz,domestic_league
4635156,2026-01-04,3911,290,Éric Roy,Christophe Pélissier,Stade Francis-Le Blé,13772.0,Jérémy Stinat,Stade brestois 29,Association de la Jeunesse auxerroise,domestic_league
4635157,2026-01-02,415,826,Carles Martínez,Pierre Sage,Stadium Municipal,30266.0,Mathieu Vernice,Toulouse Football Club,Racing Club de Lens,domestic_league
4635158,2026-01-04,244,995,Roberto De Zerbi,Ahmed Kantari,Orange Vélodrome,64780.0,Marc Bollengier,Olympique de Marseille,Football Club de Nantes,domestic_league
4635159,2026-01-18,273,738,Habib Beye,Didier Digard,Roazhon Park,27650.0,Stéphanie Frappart,Stade Rennais Football Club,Le Havre Athletic Club,domestic_league
4635160,2026-01-18,667,347,Gary O'Neil,Stéphane Le Mignan,Stade de la Meinau,30612.0,Jérémie Pignard,Racing Club de Strasbourg Alsace,Football Club de Metz,domestic_league
4635161,2026-01-18,1041,3911,Paulo Fonseca,Éric Roy,Groupama Stadium,46046.0,Romain Lissorgue,Olympique Lyonnais,Stade brestois 29,domestic_league
4635162,2026-01-17,826,290,Pierre Sage,Christophe Pélissier,Stade Bollaert-Delelis,38083.0,Bastien Dechepy,Racing Club de Lens,Association de la Jeunesse auxerroise,domestic_league
4635163,2026-01-17,415,417,Carles Martínez,Claude Puel,Stadium Municipal,19514.0,Gaël Angoula,Toulouse Football Club,Olympique Gymnaste Club Nice Côte d'Azur,domestic_league
4635164,2026-01-18,995,10004,Ahmed Kantari,Stéphane Gilli,Stade de la Beaujoire,24768.0,Benoît Millot,Football Club de Nantes,Paris Football Club,domestic_league
4635165,2026-01-16,162,1158,Sébastien Pocognoli,Olivier Pantaloni,Stade Louis-II,4810.0,Willy Delajod,Association sportive de Monaco Football Club,Football Club Lorient-Bretagne Sud,domestic_league
